"Source Name","Program Name",Date/Time,"Data Source"
SOFTWARE,DirectDrawEx,"2009-07-14 04:53:25 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,Fontcore,"2009-07-14 04:53:25 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,IE40,"2009-07-14 04:53:25 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,IE4Data,"2009-07-14 04:53:25 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,IE5BAKEX,"2009-07-14 04:53:25 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,IEData,"2009-07-14 04:53:25 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,MobileOptionPack,"2009-07-14 04:53:25 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,SchedulingAgent,"2009-07-14 04:53:25 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,WIC,"2009-07-14 04:53:25 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Eraser 6.2.0.2962 v.6.2.2962","2015-03-25 14:57:31 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Microsoft .NET Framework 4 Extended v.4.0.30319","2015-03-25 14:54:33 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Microsoft .NET Framework 4 Extended v.4.0.30319","2015-03-25 14:54:06 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Microsoft .NET Framework 4 Client Profile v.4.0.30319","2015-03-25 14:52:06 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Microsoft .NET Framework 4 Client Profile v.4.0.30319","2015-03-25 14:51:39 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,DXM_Runtime,"2015-03-25 10:15:21 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,MPlayer2,"2015-03-25 10:15:21 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Bonjour v.3.0.0.10","2015-03-23 20:00:58 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Microsoft Office Professional Plus 2013 v.15.0.4420.1017","2015-03-22 15:04:14 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Microsoft Office Professional Plus 2013 v.15.0.4420.1017","2015-03-22 15:03:33 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Microsoft Office 32-bit Components 2013 v.15.0.4420.1017","2015-03-22 15:01:46 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Microsoft Word MUI (English) 2013 v.15.0.4420.1017","2015-03-22 15:01:38 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Microsoft Outlook MUI (English) 2013 v.15.0.4420.1017","2015-03-22 15:01:37 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Microsoft Office OSM MUI (English) 2013 v.15.0.4420.1017","2015-03-22 15:01:34 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Microsoft Office OSM UX MUI (English) 2013 v.15.0.4420.1017","2015-03-22 15:01:34 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Microsoft Office Proofing (English) 2013 v.15.0.4420.1017","2015-03-22 15:01:32 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Microsoft Office Proofing Tools 2013 - English v.15.0.4420.1017","2015-03-22 15:01:31 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Outils de vérification linguistique 2013 de Microsoft Office - Français v.15.0.4420.1017","2015-03-22 15:01:30 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Microsoft Office Proofing Tools 2013 - Español v.15.0.4420.1017","2015-03-22 15:01:14 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Microsoft OneNote MUI (English) 2013 v.15.0.4420.1017","2015-03-22 15:01:13 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Microsoft Groove MUI (English) 2013 v.15.0.4420.1017","2015-03-22 15:01:12 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Microsoft DCF MUI (English) 2013 v.15.0.4420.1017","2015-03-22 15:01:11 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Microsoft Publisher MUI (English) 2013 v.15.0.4420.1017","2015-03-22 15:01:10 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Microsoft PowerPoint MUI (English) 2013 v.15.0.4420.1017","2015-03-22 15:01:09 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Microsoft Excel MUI (English) 2013 v.15.0.4420.1017","2015-03-22 15:01:07 PDT","cfreds_2015_data_leakage_pc.E01"
